"Accession"	"log2FC"
"Rnf220"	-0.462375767938076
"Sstr2"	0.814082427908291
"Sting1"	0.354402382033717
"Pkp1"	-0.434807251283782
"mt-Nd3"	-0.545939442015764
"Fau"	-0.937581132732321
"Fgg"	0.354723788733416
"Rere"	-0.338273131102365
"Mllt3"	-0.546314477872473
"Rif1"	-0.482724030387084
"Fxyd7"	-0.402372627854371
"Ppp1r14b"	-0.304984833428555
"Yipf5"	-0.417177107284846
"Nop53"	-0.982193065687452
"Mrpl35"	-0.821152507870763
"Pdha2"	-1.29556432579447
"Zfand6"	-0.495123106777456
"Tmem108"	-0.36926205862087
"Mastl"	0.482856904323372
"Anapc13"	0.322068007623074
"Agap1"	0.284892381655149
"Tram1l1"	-0.770321512728133
"Nktr"	-0.310864302455132
NA	1.13165328538471
"Jtb"	-1.06921427211997
"Dnah6"	-0.807736270504276
"Atp13a2"	0.268214213018068
"Pou3f1"	-0.270047015286636
"Fcer1g"	-0.341446409213088
"Cfap43"	0.263100929338547
"Rps29"	-0.726336028842044
"Lsm3"	-0.270256722338928
"D8Ertd738e"	-0.711150443099251
"Zcchc14"	-0.396973306975346
"Zfp655"	-0.296710959958332
"Pold3"	-0.306343630038293
"Tma7"	-0.497407231143677
"Micos10"	-0.525952384782298
"Limd2"	-0.44253194488301
"Zbtb21"	-0.356313701272199
"Mfsd5"	0.861034629740501
"Ubl5"	-0.746728462676321
"Clmp"	0.300037962635495
"Knl1"	-0.702705514548791
"Galnt7"	0.342192437435551
"Mtatp6"	0.632727703463366
"Supt3"	0.557534088538452
"Tmtc1"	0.333429557501972
"Cdkn2aipnl"	-0.292855680495236
